country_name,country_code,population,age_ratio,per_capita_gdp
Aruba,ABW,104257,44.191,28419.26453
Africa Eastern and Southern,AFE,600008424,84.958,1498.805084
Afghanistan,AFG,33753499,93.042,566.8811297
Africa Western and Central,AFW,408690375,89.209,1882.518808
Angola,AGO,28127721,93.447,3217.33924
Albania,ALB,2880703,46.413,3952.803574
Andorra,AND,71746,39.067,38885.53032
Arab World,ARB,406501999,62.738,6258.607227
United Arab Emirates,ARE,8916899,17.636,41525.1389
Argentina,ARG,43131966,55.864,13789.06042
Armenia,ARM,2878595,43.433,3666.141822
American Samoa,ASM,51368,57.349,13101.54182
Antigua and Barbuda,ATG,89941,41.286,15985.54114
Australia,AUS,23815995,51.115,56758.8692
Austria,AUT,8642699,48.702,44195.81759
Azerbaijan,AZE,9649341,42.651,5500.503646
Burundi,BDI,10727148,96.377,289.3596272
Belgium,BEL,11274196,54.308,41008.29672
Benin,BEN,10932783,86.052,1041.652523
Burkina Faso,BFA,18718019,92.896,632.1266858
Bangladesh,BGD,157830000,53.866,1236.435456
Bulgaria,BGR,7177991,52.948,7078.860323
Bahrain,BHR,1362142,30.111,22850.6654
"Bahamas, The",BHS,392697,43.48,29722.40684
Bosnia and Herzegovina,BIH,3524324,43.615,4654.60862
Belarus,BLR,9461076,45.502,5967.06856
Belize,BLZ,359871,56.366,6098.60008
Bermuda,BMU,65237,45.11,102005.6256
Bolivia,BOL,11090085,61.16,2975.648811
Brazil,BRA,205188205,43.686,8783.215424
Barbados,BRB,278083,46.71,17040.41761
Brunei Darussalam,BRN,421437,39.457,30681.43397
Bhutan,BTN,743274,48.594,2899.228294
Botswana,BWA,2305171,59.847,5869.737579
Central African Republic,CAF,4819333,103.776,351.8797548
Canada,CAN,35704498,47.592,43594.1941
Central Europe and the Baltics,CEB,103257886,47.22,12528.08264
Switzerland,CHE,8282396,48.649,83806.4476
Channel Islands,CHI,162190,47.079,NA
Chile,CHL,17870124,44.951,13567.35722
China,CHN,1379860000,39.619,8016.445595
Cote d'Ivoire,CIV,23596741,85.178,1941.581898
Cameroon,CMR,23012646,85.556,1399.675336
"Congo, Dem. Rep.",COD,78656904,97.344,482.0645686
"Congo, Rep.",COG,5064386,80.343,2455.340858
Colombia,COL,47119728,45.997,6228.651621
Comoros,COM,730216,78.497,1322.936776
Cabo Verde,CPV,552166,52.347,3169.078901
Costa Rica,CRI,4895242,45.556,11529.95517
Caribbean small states,CSS,2969980,50.327,11629.12077
Cuba,CUB,11339894,44.582,7683.740254
Curacao,CUW,157980,51.88,19361.813
Cayman Islands,CYM,60911,31.076,77295.84566
Cyprus,CYP,1187280,40.486,23487.21875
Czechia,CZE,10546059,50.06,17829.69832
Germany,DEU,81686611,51.872,41103.25644
Djibouti,DJI,1006259,61.364,2409.311902
Dominica,DMA,70007,45.466,7724.042411
Denmark,DNK,5683483,55.452,53254.85637
Dominican Republic,DOM,10405832,54.112,6838.936746
Algeria,DZA,39543154,51.962,4741.49977
East Asia & Pacific (excluding high income),EAP,2049740052,42.717,6499.96372
Early-demographic dividend,EAR,3165214886,55.862,3234.225944
East Asia & Pacific,EAS,2294507020,43.875,9586.056625
Europe & Central Asia (excluding high income),ECA,238848390,47.767,6312.150342
Europe & Central Asia,ECS,907094808,50.118,22579.1837
Ecuador,ECU,16195902,55.465,6002.108311
"Egypt, Arab Rep.",EGY,97723799,60.88,3370.382447
Euro area,EMU,343718279,53.92,34118.36594
Eritrea,ERI,3340006,85.41,NA
Spain,ESP,46444832,50.927,25754.36103
Estonia,EST,1315407,53.62,17402.03761
Ethiopia,ETH,102471895,83.419,630.3126194
European Union,EUU,444570054,52.703,30487.65237
Fragile and conflict affected situations,FCS,876449625,82.017,1845.312304
Finland,FIN,5479531,57.642,42801.90812
Fiji,FJI,917200,53.875,5105.189592
France,FRA,66548272,59.469,36652.92231
Faroe Islands,FRO,48816,61.263,52726.68738
"Micronesia, Fed. Sts.",FSM,109462,59.185,2891.322103
Gabon,GAB,2028517,68.282,7090.454634
United Kingdom,GBR,65116219,55.087,44964.39114
Georgia,GEO,3725276,49.997,4086.622347
Ghana,GHA,28870939,72.404,1711.271326
Gibraltar,GIB,32520,55.286,NA
Guinea,GIN,11625998,87.929,756.4255898
"Gambia, The",GMB,2253133,92.135,611.6712191
Guinea-Bissau,GNB,1788919,83.104,644.1790639
Equatorial Guinea,GNQ,1346973,71.68,9788.983804
Greece,GRC,10820883,54.691,18083.87791
Grenada,GRD,118980,49.601,8379.621847
Greenland,GRL,56114,40.619,44536.35497
Guatemala,GTM,15567419,68.295,3994.629085
Guam,GUM,167978,55.642,34522.37793
Guyana,GUY,755031,54.716,5668.429765
High income,HIC,1364282269,50.67,36482.99653
"Hong Kong SAR, China",HKG,7291300,37.17,42432.16197
Honduras,HND,9294505,60.558,2257.225284
Heavily indebted poor countries (HIPC),HPC,727129254,88.276,917.7214597
Croatia,HRV,4203604,51.11,12135.10362
Haiti,HTI,10563757,62.093,1405.714776
Hungary,HUN,9843028,48.325,12717.0386
IBRD only,IBD,4662836842,47.632,5541.337594
IDA & IBRD total,IBT,6240908648,55.463,4484.489384
IDA total,IDA,1578071806,78.601,1360.962177
IDA blend,IDB,528669692,78.854,1993.789362
Indonesia,IDN,259091970,49.39,3322.581679
IDA only,IDX,1049402114,78.473,1042.155355
Isle of Man,IMN,83593,57.075,84753.51874
India,IND,1322866505,52.148,1590.174331
Not classified,INX,NA,NA,NA
Ireland,IRL,4701957,52.618,62179.26427
"Iran, Islamic Rep.",IRN,81790841,41.356,4990.936795
Iraq,IRQ,37757813,76.522,4416.942924
Iceland,ISL,330815,51.205,52951.68151
Israel,ISR,8380100,64.044,36206.52222
Italy,ITA,60730582,55.625,30242.38614
Jamaica,JAM,2794445,41.953,5077.550969
Jordan,JOR,9494246,61.784,4064.25301
Japan,JPN,127141000,66.671,34960.63938
Kazakhstan,KAZ,17542806,51.498,10510.77032
Kenya,KEN,46851488,78.799,1496.653573
Kyrgyz Republic,KGZ,5956900,57.017,1121.082696
Cambodia,KHM,15417523,54.091,1170.742816
Kiribati,KIR,116707,64.011,1641.480977
St. Kitts and Nevis,KNA,47790,40.877,20029.75983
"Korea, Rep.",KOR,51014947,36.479,28737.43917
Kuwait,KWT,3908743,31.676,29315.1931
Latin America & Caribbean (excluding high income),LAC,558562792,50.208,8297.302258
Lao PDR,LAO,6787419,59.44,2125.458901
Lebanon,LBN,6398940,46.792,7802.751368
Liberia,LBR,4612329,85.459,699.6629469
Libya,LBY,6192235,56.752,7867.514931
St. Lucia,LCA,175623,40.605,10292.73353
Latin America & Caribbean,LCN,621390109,50.273,8719.625753
Least developed countries: UN classification,LDC,951184941,80.139,968.1238895
Low income,LIC,582173028,88.348,714.7715647
Liechtenstein,LIE,37355,45.401,167809.2699
Sri Lanka,LKA,21336697,51.456,3990.353117
Lower middle income,LMC,2737695800,60.412,1856.926033
Low & middle income,LMY,6009439133,55.838,4214.45758
Lesotho,LSO,2118521,64.778,1113.836835
Late-demographic dividend,LTE,2258792292,41.451,8212.743292
Lithuania,LTU,2904910,51.102,14263.96458
Luxembourg,LUX,569604,44.382,105462.0126
Latvia,LVA,1977527,53.686,13786.4568
"Macao SAR, China",MAC,615239,27.906,73220.63556
St. Martin (French part),MAF,35020,50.197,NA
Morocco,MAR,34680458,51.19,3139.228271
Monaco,MCO,36760,86.85,170338.6804
Moldova,MDA,2835978,41.957,2749.551371
Madagascar,MDG,24850912,79.181,455.6380346
Maldives,MDV,435582,37.219,9480.431513
Middle East & North Africa,MEA,440506473,55.718,7266.659229
Mexico,MEX,120149897,52.891,10098.17318
