orig,dest,flow
ERI,BDI,105.89
KEN,BDI,1344.2
MWI,BDI,696.16
MOZ,BDI,580.19
RWA,BDI,30690.43
UGA,BDI,9533.81
TZA,BDI,19812.12
ZMB,BDI,449.74
COD,BDI,27745.35
ZAF,BDI,772.34
SWE,BDI,254.59
GBR,BDI,368.54
BEL,BDI,730.91
FRA,BDI,250.74
NLD,BDI,207.06
CAN,BDI,765.53
AUS,BDI,231.08
MDG,COM,2355.84
MYT,COM,7663.93
REU,COM,620.11
LBY,COM,469
FRA,COM,4126.68
ETH,DJI,2734.39
KEN,DJI,4076.12
SOM,DJI,10390.53
UGA,DJI,358.45
LBY,DJI,333.82
ZAF,DJI,930.02
SAU,DJI,309.03
ARE,DJI,137.55
YEM,DJI,3382.48
GBR,DJI,152.26
BEL,DJI,143.39
FRA,DJI,824.06
CAN,DJI,272.89
BDI,ERI,275.13
ETH,ERI,19227.93
KEN,ERI,324.37
MOZ,ERI,121.08
SOM,ERI,227.91
SSD,ERI,896.66
UGA,ERI,1870.98
COD,ERI,197.32
EGY,ERI,421.63
LBY,ERI,454.27
SDN,ERI,18813.12
BHR,ERI,207.57
KWT,ERI,560.31
QAT,ERI,237.45
ARE,ERI,2201.15
YEM,ERI,219.37
DNK,ERI,312.84
NOR,ERI,1400.72
SWE,ERI,2451.63
GBR,ERI,1425.42
ITA,ERI,1204.9
FRA,ERI,341.4
DEU,ERI,2750.64
NLD,ERI,1221.01
CHE,ERI,2777.2
CAN,ERI,1324.02
USA,ERI,3112.3
AUS,ERI,442.75
DJI,ETH,2230.67
ERI,ETH,36177.5
KEN,ETH,8044.94
SOM,ETH,47174.68
SSD,ETH,256189.84
UGA,ETH,3109.27
COD,ETH,430.47
EGY,ETH,1131.87
LBY,ETH,728.46
SDN,ETH,34454.67
ZAF,ETH,9926.1
BHR,ETH,215.14
ISR,ETH,9288.76
KWT,ETH,709.81
QAT,ETH,370.08
SAU,ETH,22236.72
ARE,ETH,2383.84
YEM,ETH,4849.29
DNK,ETH,314.9
FIN,ETH,243.26
NOR,ETH,1157.97
SWE,ETH,2229.97
GBR,ETH,2242.2
GRC,ETH,289.78
ITA,ETH,3617.11
ESP,ETH,427.82
AUT,ETH,157.99
BEL,ETH,503.43
FRA,ETH,1163.02
DEU,ETH,2518.87
NLD,ETH,1414.69
CHE,ETH,942.95
CAN,ETH,4054
USA,ETH,25770.39
AUS,ETH,1756.91
NZL,ETH,150.65
BDI,KEN,8863.98
DJI,KEN,267.11
ERI,KEN,233.32
ETH,KEN,5299.26
MOZ,KEN,2561.85
RWA,KEN,1905.66
SOM,KEN,40047.41
SSD,KEN,56642.22
UGA,KEN,86946.3
TZA,KEN,6579.5
COD,KEN,15942.47
LBY,KEN,362.31
SDN,KEN,2734.08
BWA,KEN,126.26
NAM,KEN,142.8
ZAF,KEN,3420.78
GIN,KEN,202.62
IND,KEN,1105.45
YEM,KEN,990.85
DNK,KEN,201.13
FIN,KEN,144.93
NOR,KEN,282.55
SWE,KEN,508.79
GBR,KEN,14112.15
ITA,KEN,400.24
ESP,KEN,149.03
AUT,KEN,118.86
BEL,KEN,159.12
FRA,KEN,204.69
DEU,KEN,1418.83
NLD,KEN,389.87
CHE,KEN,356.73
CAN,KEN,2742.29
USA,KEN,12134.99
AUS,KEN,2106.09
NZL,KEN,179.06
COM,MDG,4237.13
MUS,MDG,290.9
MYT,MDG,1006.55
REU,MDG,2513.8
SYC,MDG,104.8
CHN,MDG,513.16
IND,MDG,721.08
PAK,MDG,276.95
GBR,MDG,141.4
ITA,MDG,288.92
BEL,MDG,263.32
FRA,MDG,19242.8
DEU,MDG,182.6
CHE,MDG,225.83
CAN,MDG,432.83
BDI,MWI,6120.75
MOZ,MWI,11707.28
RWA,MWI,2671.87
SSD,MWI,665.2
UGA,MWI,724.67
TZA,MWI,1602.17
ZMB,MWI,4715.25
ZWE,MWI,17017.76
COG,MWI,137.74
COD,MWI,15045.74
BWA,MWI,182.05
ZAF,MWI,14254.08
IND,MWI,295.77
GBR,MWI,2063.61
AUS,MWI,175.55
MDG,MUS,288.91
REU,MUS,623.07
ZAF,MUS,1392.49
CHN,MUS,417.9
BGD,MUS,4491.19
IND,MUS,3083.17
PAK,MUS,1280.19
LKA,MUS,494.23
IRL,MUS,353.99
GBR,MUS,4498.13
ITA,MUS,943.34
BEL,MUS,369.45
FRA,MUS,5363.4
CHE,MUS,306.12
CAN,MUS,1647.52
AUS,MUS,3185.81
COM,MYT,13944.01
MDG,MYT,1231.86
REU,MYT,1082.04
FRA,MYT,3624.11
BDI,MOZ,5463.68
ERI,MOZ,207.12
KEN,MOZ,10698.68
MWI,MOZ,25968.38
RWA,MOZ,185.65
SYC,MOZ,2104.44
