country_text_id,year,v2x_polyarchy
MEX,2015,0.636
SUR,2015,0.759
SWE,2015,0.915
CHE,2015,0.904
GHA,2015,0.739
ZAF,2015,0.749
JPN,2015,0.82
MMR,2015,0.366
RUS,2015,0.264
ALB,2015,0.527
EGY,2015,0.156
YEM,2015,0.186
COL,2015,0.684
POL,2015,0.875
BRA,2015,0.868
USA,2015,0.905
PRT,2015,0.889
SLV,2015,0.659
BGD,2015,0.28
BOL,2015,0.616
HTI,2015,0.408
HND,2015,0.433
MLI,2015,0.544
PAK,2015,0.446
PER,2015,0.817
SEN,2015,0.722
SSD,2015,0.171
SDN,2015,0.236
VNM,2015,0.146
AFG,2015,0.375
ARG,2015,0.771
ETH,2015,0.229
IND,2015,0.552
KEN,2015,0.532
PRK,2015,0.085
KOR,2015,0.714
XKX,2015,0.644
LBN,2015,0.488
NGA,2015,0.566
PHL,2015,0.551
TZA,2015,0.463
TWN,2015,0.809
THA,2015,0.149
UGA,2015,0.311
VEN,2015,0.303
BEN,2015,0.661
BTN,2015,0.58
BFA,2015,0.375
KHM,2015,0.294
IDN,2015,0.658
MOZ,2015,0.445
NPL,2015,0.645
NIC,2015,0.321
NER,2015,0.621
ZMB,2015,0.451
ZWE,2015,0.291
GIN,2015,0.368
CIV,2015,0.478
MRT,2015,0.431
CAN,2015,0.816
AUS,2015,0.866
BWA,2015,0.689
BDI,2015,0.199
CPV,2015,0.798
CAF,2015,0.283
CHL,2015,0.892
CRI,2015,0.907
TLS,2015,0.632
ECU,2015,0.543
FRA,2015,0.895
DEU,2015,0.89
GTM,2015,0.601
IRN,2015,0.187
IRQ,2015,0.399
IRL,2015,0.899
ITA,2015,0.862
JOR,2015,0.254
LVA,2015,0.847
LSO,2015,0.596
LBR,2015,0.611
MWI,2015,0.536
MDV,2015,0.382
MNG,2015,0.675
MAR,2015,0.263
NLD,2015,0.882
PAN,2015,0.755
PNG,2015,0.437
QAT,2015,0.042
SLE,2015,0.504
ESP,2015,0.858
SYR,2015,0.138
TUN,2015,0.727
TUR,2015,0.386
UKR,2015,0.417
GBR,2015,0.857
URY,2015,0.899
DZA,2015,0.328
AGO,2015,0.309
ARM,2015,0.35
AZE,2015,0.195
BLR,2015,0.25
CMR,2015,0.327
TCD,2015,0.281
CHN,2015,0.081
COD,2015,0.319
COG,2015,0.25
DJI,2015,0.244
DOM,2015,0.581
ERI,2015,0.07
GAB,2015,0.374
GMB,2015,0.243
GEO,2015,0.673
GNB,2015,0.499
JAM,2015,0.8
KAZ,2015,0.236
KGZ,2015,0.457
LAO,2015,0.09
LBY,2015,0.286
MDG,2015,0.473
MDA,2015,0.563
NAM,2015,0.719
PSE,2015,0.257
RWA,2015,0.227
SOM,2015,0.17
LKA,2015,0.554
SWZ,2015,0.13
TJK,2015,0.183
TGO,2015,0.48
TTO,2015,0.764
TKM,2015,0.144
PSG,2015,0.126
SML,2015,0.407
UZB,2015,0.168
AUT,2015,0.873
BHR,2015,0.139
BRB,2015,0.776
BEL,2015,0.902
BIH,2015,0.548
BGR,2015,0.67
COM,2015,0.419
HRV,2015,0.818
CUB,2015,0.169
CYP,2015,0.854
CZE,2015,0.86
DNK,2015,0.921
GNQ,2015,0.181
EST,2015,0.895
FJI,2015,0.396
FIN,2015,0.866
GRC,2015,0.88
GUY,2015,0.651
HKG,2015,0.347
ISL,2015,0.869
ISR,2015,0.738
KWT,2015,0.317
LTU,2015,0.838
LUX,2015,0.878
MKD,2015,0.442
MYS,2015,0.33
MLT,2015,0.78
MUS,2015,0.745
MNE,2015,0.469
NZL,2015,0.889
NOR,2015,0.895
OMN,2015,0.171
PRY,2015,0.589
ROU,2015,0.711
STP,2015,0.695
SAU,2015,0.016
SRB,2015,0.427
SYC,2015,0.518
SGP,2015,0.424
SVK,2015,0.845
SVN,2015,0.874
SLB,2015,0.566
VUT,2015,0.717
ARE,2015,0.094
HUN,2015,0.623
ZZB,2015,0.302
